E_n (eV),dN/dE (pdf)
0.000114405,5.48255E-06
0.000115312,3.211E-06
0.000116229,8.80251E-06
0.000117158,6.35622E-06
0.000118098,6.18149E-06
0.000119049,6.35622E-06
0.000120012,6.00675E-06
0.000120986,5.30781E-06
0.000121972,4.95834E-06
0.000122971,5.48255E-06
0.000123982,6.18149E-06
0.000125005,7.22989E-06
0.000126041,5.48255E-06
0.00012709,7.57936E-06
0.000128152,9.32671E-06
0.000129227,9.15198E-06
0.000130316,6.88042E-06
0.000131419,1.02004E-05
0.000132536,6.88042E-06
0.000133667,6.70569E-06
0.000134813,7.40463E-06
0.000135974,8.2783E-06
0.000137149,7.22989E-06
0.00013834,8.80251E-06
0.000139547,8.80251E-06
0.000140769,8.97724E-06
0.000142007,8.45304E-06
0.000143262,1.19477E-05
0.000144534,1.00256E-05
0.000145822,1.24719E-05
0.000147128,1.19477E-05
0.000148452,9.67618E-06
0.000149793,1.31709E-05
0.000151153,1.28214E-05
0.000152531,1.22972E-05
0.000153929,8.62777E-06
0.000155345,1.40445E-05
0.000156782,1.22972E-05
0.000158238,1.28214E-05
0.000159714,1.7015E-05
0.000161212,1.56172E-05
0.00016273,1.4394E-05
0.00016427,1.5093E-05
0.000165832,1.08993E-05
0.000167417,1.7714E-05
0.000169024,1.89371E-05
0.000170655,1.66656E-05
0.000172309,1.63161E-05
0.000173987,1.56172E-05
0.00017569,2.0335E-05
0.000177419,2.38297E-05
0.000179172,2.45286E-05
0.000180952,2.31308E-05
0.000182759,2.48781E-05
0.000184593,1.87624E-05
0.000186454,1.89371E-05
0.000188344,2.47034E-05
0.000190263,3.06443E-05
0.000192211,2.81981E-05
0.000194189,3.29159E-05
0.000196198,2.69749E-05
0.000198238,3.13433E-05
0.00020031,3.4838E-05
0.000202415,3.64106E-05
0.000204554,3.30906E-05
0.000206726,3.83327E-05
0.000208933,3.78085E-05
0.000211176,3.81579E-05
0.000213455,3.27412E-05
0.000215771,4.14779E-05
0.000218125,3.93811E-05
0.000220517,4.04295E-05
0.00022295,4.14779E-05
0.000225422,4.09537E-05
0.000227937,4.58463E-05
0.000230493,5.10883E-05
0.000233093,5.30104E-05
0.000235737,5.49325E-05
0.000238426,5.26609E-05
0.000241161,6.08735E-05
0.000243944,5.84272E-05
0.000246775,6.27955E-05
0.000249656,5.93008E-05
0.000252587,6.03493E-05
0.000255571,6.40187E-05
0.000258607,7.52017E-05
0.000261698,7.06586E-05
0.000264845,7.08333E-05
0.000268049,8.3589E-05
0.000271312,7.29302E-05
0.000274634,8.58605E-05
0.000278018,9.18015E-05
0.000281464,8.67342E-05
0.000284975,9.33741E-05
0.000288553,9.16268E-05
0.000292198,9.56457E-05
0.000295912,0.000104208
0.000299698,0.000107353
0.000303557,0.000110848
0.000307491,0.000117662
0.000311502,0.000128496
0.000315592,0.000126224
0.000319763,0.000133214
0.000324017,0.000130068
0.000328357,0.000140727
0.000332784,0.000149289
0.000337302,0.000149813
0.000341912,0.000157676
0.000346618,0.000167986
0.000351421,0.000180217
0.000356325,0.000168161
0.000361332,0.000179693
0.000366446,0.000192274
0.000371668,0.000212194
0.000377004,0.000208175
0.000382454,0.000215863
0.000388024,0.0002246
0.000393717,0.000245393
0.000399536,0.00024417
0.000405485,0.00026374
0.000411567,0.000278418
0.000417788,0.000276846
0.00042415,0.000299386
0.000430659,0.000320005
0.000437319,0.000313889
0.000444135,0.0003401
0.000451111,0.000351807
0.000458253,0.000380463
0.000465566,0.000378541
0.000473056,0.000390248
0.000480727,0.00041576
0.000488587,0.000438999
0.000496641,0.000474471
0.000504896,0.000481285
0.000513359,0.000526017
0.000522036,0.000525493
0.000530934,0.000570749
0.000540063,0.000582282
0.000549429,0.000627189
0.00055904,0.000674018
0.000568906,0.000691316
