E_n (eV),dN/dE (pdf)
0.018520713,1.55E-03
0.01926895,1.36E-03
0.020063463,1.21E-03
0.020908149,1.10E-03
0.021807322,9.98E-04
0.022765773,9.16E-04
0.023788827,8.30E-04
0.024882425,7.45E-04
0.026053205,6.60E-04
0.027308603,5.83E-04
0.028656975,5.15E-04
0.030107735,4.56E-04
0.031671516,4.02E-04
0.033360371,3.52E-04
0.035188002,3.08E-04
0.037170043,2.66E-04
0.039324388,2.28E-04
0.041671605,1.96E-04
0.044235423,1.67E-04
0.047043335,1.40E-04
0.050127342,1.15E-04
0.053524861,9.36E-05
0.057279876,7.39E-05
0.061444356,5.70E-05
0.066080076,4.20E-05
0.07126091,2.96E-05
0.077075801,2.02E-05
0.083632596,1.31E-05
0.091063091,8.12E-06
0.099529701,4.74E-06
0.109234411,2.69E-06
0.120430938,1.47E-06
0.133441483,8.36E-07
0.148680171,4.37E-07
0.16668642,2.82E-07
0.188173341,1.42E-07
0.214099446,7.40E-08
0.245777425,5.29E-08
0.285043641,8.23E-09
0.334530384,9.82E-09
0.398118804,1.69E-08
0.481723753,1.09E-08
0.594720683,5.42E-10
0.752693364,4.23E-11
0.9831097,3.80E-09
